model,dataset,ROC_AUC_mean,ROC_AUC_std,Balanced_Accuracy_mean,Balanced_Accuracy_std,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,MCC_mean,MCC_std
RandomForest,target_NEK7,0.899,0.0913,0.8907,0.0433,0.9714,0.0639,0.7905,0.0928,0.8673,0.0548,0.8422,0.0585
HistGradientBoosting,target_NEK7,0.906,0.0992,0.9145,0.0597,0.9429,0.0782,0.8476,0.1186,0.8875,0.0765,0.8615,0.0902
SVM,target_NEK7,0.9197,0.0882,0.919,0.0598,0.9714,0.0639,0.8476,0.1186,0.9007,0.0757,0.8803,0.087
GradientBoosting,target_NEK7,0.9302,0.0617,0.8764,0.1084,0.8857,0.1863,0.7905,0.1704,0.8303,0.1628,0.7853,0.217
