model,dataset,ROC_AUC_mean,ROC_AUC_std,Balanced_Accuracy_mean,Balanced_Accuracy_std,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,MCC_mean,MCC_std
RandomForest,target_AHR,0.8775,0.0657,0.7197,0.1179,0.9013,0.0411,0.9895,0.0144,0.9429,0.025,0.5758,0.2084
HistGradientBoosting,target_AHR,0.8341,0.1366,0.7028,0.0813,0.9016,0.0284,0.9055,0.076,0.9021,0.0422,0.4249,0.1807
SVM,target_AHR,0.8868,0.048,0.7314,0.1218,0.9052,0.0437,0.9842,0.0144,0.9427,0.0276,0.5745,0.2485
GradientBoosting,target_AHR,0.7716,0.1142,0.7119,0.0616,0.8989,0.0241,0.9738,0.0322,0.9345,0.0212,0.5426,0.1417
