model,dataset,ROC_AUC_mean,ROC_AUC_std,Balanced_Accuracy_mean,Balanced_Accuracy_std,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,MCC_mean,MCC_std
RandomForest,target_VDR,0.9945,0.0079,0.967,0.0211,0.9785,0.013,0.9808,0.0201,0.9796,0.0146,0.9359,0.0451
HistGradientBoosting,target_VDR,0.9952,0.0079,0.9784,0.0121,0.9858,0.0097,0.988,0.0209,0.9868,0.0102,0.9591,0.0295
SVM,target_VDR,0.995,0.0081,0.9707,0.0187,0.9787,0.013,0.988,0.012,0.9833,0.0115,0.9468,0.0365
GradientBoosting,target_VDR,0.9932,0.01,0.9653,0.0239,0.9722,0.0208,0.9928,0.0108,0.9823,0.0118,0.9433,0.0377
