model,dataset,ROC_AUC_mean,ROC_AUC_std,Balanced_Accuracy_mean,Balanced_Accuracy_std,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,MCC_mean,MCC_std
RandomForest,target_EGFR,0.9783,0.0027,0.8983,0.0166,0.9788,0.0044,0.965,0.0044,0.9719,0.0019,0.7603,0.0183
HistGradientBoosting,target_EGFR,0.9729,0.0046,0.8406,0.0249,0.9633,0.006,0.9837,0.0024,0.9734,0.0023,0.7402,0.0288
GradientBoosting,target_EGFR,0.9613,0.0064,0.8208,0.0249,0.9588,0.0058,0.982,0.0024,0.9702,0.0031,0.7062,0.036
