model,dataset,ROC_AUC_mean,ROC_AUC_std,Balanced_Accuracy_mean,Balanced_Accuracy_std,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,MCC_mean,MCC_std
RandomForest,target_FGFR2,0.9853,0.0144,0.7542,0.1314,0.9962,0.0019,0.9985,0.0025,0.9973,0.0014,0.6162,0.1951
HistGradientBoosting,target_FGFR2,0.9728,0.0246,0.6896,0.1081,0.995,0.0017,0.9992,0.0011,0.9971,0.0007,0.5452,0.1507
SVM,target_FGFR2,0.9833,0.0129,0.7542,0.1316,0.9962,0.0019,0.9985,0.0016,0.9973,0.0013,0.5973,0.2188
GradientBoosting,target_FGFR2,0.7966,0.1495,0.7131,0.1043,0.9954,0.0017,0.9961,0.0027,0.9958,0.0016,0.4591,0.2023
