model,dataset,ROC_AUC_mean,ROC_AUC_std,Balanced_Accuracy_mean,Balanced_Accuracy_std,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,MCC_mean,MCC_std
RandomForest,target_BMPR2,0.8999,0.0505,0.82,0.0671,1.0,0.0,0.64,0.1342,0.7739,0.1014,0.7612,0.0936
HistGradientBoosting,target_BMPR2,0.8602,0.0564,0.798,0.0907,0.6712,0.2094,0.7,0.1225,0.6808,0.1558,0.5903,0.2074
SVM,target_BMPR2,0.892,0.0578,0.8318,0.0746,0.9167,0.1179,0.68,0.1304,0.7786,0.125,0.7438,0.1464
GradientBoosting,target_BMPR2,0.8733,0.0796,0.8446,0.0443,0.764,0.1148,0.76,0.0894,0.7551,0.0697,0.6924,0.0907
