model,dataset,ROC_AUC_mean,ROC_AUC_std,Balanced_Accuracy_mean,Balanced_Accuracy_std,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,MCC_mean,MCC_std
RandomForest,keyword_fibrosis,0.9787,0.014,0.8952,0.0349,0.9692,0.0102,0.9703,0.02,0.9697,0.0131,0.7954,0.0856
HistGradientBoosting,keyword_fibrosis,0.9702,0.0202,0.8709,0.012,0.9596,0.0026,0.9841,0.0119,0.9716,0.0069,0.7957,0.0483
SVM,keyword_fibrosis,0.9785,0.0121,0.8774,0.0247,0.9639,0.0069,0.966,0.0096,0.965,0.008,0.7591,0.0541
GradientBoosting,keyword_fibrosis,0.9398,0.0243,0.7706,0.036,0.9298,0.0095,0.9703,0.0178,0.9495,0.0116,0.6166,0.0873
