model,dataset,ROC_AUC_mean,ROC_AUC_std,Balanced_Accuracy_mean,Balanced_Accuracy_std,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,MCC_mean,MCC_std
RandomForest,target_BMPR1B,0.8863,0.0737,0.8082,0.0344,0.891,0.1163,0.6508,0.0628,0.7478,0.0559,0.688,0.0822
HistGradientBoosting,target_BMPR1B,0.8751,0.0553,0.7813,0.041,0.741,0.076,0.6508,0.0785,0.69,0.0602,0.5876,0.0814
SVM,target_BMPR1B,0.8897,0.0522,0.8211,0.0249,0.8967,0.1145,0.6767,0.0545,0.7663,0.0427,0.7086,0.0689
GradientBoosting,target_BMPR1B,0.865,0.0628,0.7738,0.0502,0.7109,0.1017,0.6508,0.0628,0.6785,0.0768,0.5644,0.1126
