model,dataset,ROC_AUC_mean,ROC_AUC_std,Balanced_Accuracy_mean,Balanced_Accuracy_std,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,MCC_mean,MCC_std
RandomForest,target_RAD51,0.9546,0.082,0.9041,0.0626,0.9167,0.078,0.8429,0.1139,0.8753,0.0824,0.8288,0.1099
HistGradientBoosting,target_RAD51,0.9475,0.0484,0.9155,0.0564,0.975,0.0559,0.8429,0.1139,0.8998,0.0671,0.8692,0.0845
SVM,target_RAD51,0.9668,0.0702,0.9044,0.0803,0.9206,0.125,0.8429,0.1442,0.8739,0.1078,0.8312,0.1481
GradientBoosting,target_RAD51,0.9561,0.0569,0.928,0.0611,0.9778,0.0497,0.8679,0.1346,0.913,0.0675,0.8889,0.0804
