model,dataset,ROC_AUC_mean,ROC_AUC_std,Balanced_Accuracy_mean,Balanced_Accuracy_std,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,MCC_mean,MCC_std
RandomForest,target_VEGFR2_KDR,0.9718,0.0086,0.8557,0.017,0.9769,0.0028,0.9841,0.0025,0.9805,0.0018,0.7416,0.0259
HistGradientBoosting,target_VEGFR2_KDR,0.963,0.0064,0.8212,0.0104,0.9709,0.0017,0.9913,0.0024,0.981,0.0016,0.7329,0.0227
GradientBoosting,target_VEGFR2_KDR,0.9414,0.0145,0.7932,0.0178,0.9663,0.0029,0.9917,0.0021,0.9788,0.0017,0.6958,0.027
